,Unnamed: 0,Close,High,Low,Open,time,volume,MA_20,MA_200,ATR,ExpMA,kelt_upper,kelt_lower
539,539,106.025,106.025,106.025,106.025,2004-01-28 05:00:00,2,106.458,112.76645000000008,0.0,106.53115051230107,106.53115051230107,106.53115051230107
540,540,105.955,105.955,105.955,105.955,2004-01-29 05:00:00,2,106.44499999999998,112.7072500000001,0.0,106.47627903493907,106.47627903493907,106.47627903493907
541,541,105.76,105.76,105.76,105.76,2004-01-30 05:00:00,2,106.41975,112.64722500000009,0.0,106.4080619839925,106.4080619839925,106.4080619839925
542,542,105.68,105.68,105.68,105.68,2004-02-01 05:00:00,2,106.3945,112.58720000000008,0.0,106.33872274742178,106.33872274742178,106.33872274742178
543,543,105.605,105.605,105.605,105.605,2004-02-02 05:00:00,2,106.35625,112.52807500000009,0.0,106.26884439052446,106.26884439052446,106.26884439052446
544,544,105.515,105.515,105.515,105.515,2004-02-03 05:00:00,2,106.296,112.46865000000007,0.0,106.19704968666498,106.19704968666498,106.19704968666498
545,545,105.495,105.495,105.495,105.495,2004-02-04 05:00:00,2,106.23599999999999,112.40755000000007,0.0,106.1301878117445,106.1301878117445,106.1301878117445
546,546,105.905,105.905,105.905,105.905,2004-02-05 05:00:00,2,106.21900000000001,112.34645000000006,0.0,106.10874135348313,106.10874135348313,106.10874135348313
547,547,105.455,105.455,105.455,105.455,2004-02-06 05:00:00,2,106.181,112.28445000000006,0.0,106.04648027219902,106.04648027219902,106.04648027219902
548,548,105.71,105.71,105.71,105.71,2004-02-08 05:00:00,2,106.14275,112.22142500000007,0.0,106.0144345319896,106.0144345319896,106.0144345319896
549,549,105.625,105.625,105.625,105.625,2004-02-09 05:00:00,2,106.08800000000001,112.15760000000007,0.0,105.97734552894296,105.97734552894296,105.97734552894296
550,550,105.525,105.525,105.525,105.525,2004-02-10 05:00:00,2,106.03025000000002,112.09272500000009,0.0,105.93426500237696,105.93426500237696,105.93426500237696
551,551,105.375,105.375,105.375,105.375,2004-02-11 05:00:00,2,105.93625000000002,112.03067500000009,0.0,105.88100166881725,105.88100166881725,105.88100166881725
552,552,105.385,105.385,105.385,105.385,2004-02-12 05:00:00,2,105.85175000000004,111.96792500000006,0.0,105.83376341464417,105.83376341464417,105.83376341464417
553,553,105.46,105.46,105.46,105.46,2004-02-13 05:00:00,2,105.77650000000003,111.90532500000006,0.0,105.79816689896377,105.79816689896377,105.79816689896377
554,554,105.51,105.51,105.51,105.51,2004-02-15 05:00:00,2,105.75175000000004,111.83590000000005,0.0,105.77072243239579,105.77072243239579,105.77072243239579
555,555,105.475,105.475,105.475,105.475,2004-02-16 05:00:00,2,105.69950000000003,111.76542500000005,0.0,105.74255839121523,105.74255839121523,105.74255839121523
556,556,105.675,105.675,105.675,105.675,2004-02-17 05:00:00,2,105.65475000000004,111.69570000000004,0.0,105.73612425871855,105.73612425871855,105.73612425871855
557,557,106.875,106.875,106.875,106.875,2004-02-18 05:00:00,2,105.68225000000004,111.63130000000005,0.0,105.84458861503107,105.84458861503107,105.84458861503107
558,558,107.185,107.185,107.185,107.185,2004-02-19 05:00:00,2,105.75975000000003,111.57015000000006,0.0,105.97224684217097,105.97224684217097,105.97224684217097
559,559,109.07,109.07,109.07,109.07,2004-02-20 05:00:00,2,105.91200000000003,111.52492500000004,0.0,106.2672709524404,106.2672709524404,106.2672709524404
560,560,109.04,109.04,109.04,109.04,2004-02-22 05:00:00,2,106.06625000000004,111.47915000000005,0.0,106.53134038554131,106.53134038554131,106.53134038554131
561,561,108.405,108.405,108.405,108.405,2004-02-23 05:00:00,2,106.19850000000004,111.43087500000003,0.0,106.70978415834689,106.70978415834689,106.70978415834689
562,562,108.165,108.165,108.165,108.165,2004-02-24 05:00:00,2,106.32275000000004,111.38140000000003,0.0,106.84837614326624,106.84837614326624,106.84837614326624
563,563,109.045,109.045,109.045,109.045,2004-02-25 05:00:00,2,106.49475000000004,111.33560000000001,0.0,107.05757841533612,107.05757841533612,107.05757841533612
564,564,109.645,109.645,109.645,109.645,2004-02-26 05:00:00,2,106.70125000000004,111.2928,0.0,107.30399951863745,107.30399951863745,107.30399951863745
565,565,108.96,108.96,108.96,108.96,2004-02-27 05:00:00,2,106.87450000000005,111.24797500000001,0.0,107.46171385019579,107.46171385019579,107.46171385019579
566,566,109.07,109.07,109.07,109.07,2004-02-29 05:00:00,2,107.03275000000005,111.204925,0.0,107.61488395970095,107.61488395970095,107.61488395970095
567,567,108.955,108.955,108.955,108.955,2004-03-01 05:00:00,2,107.20775000000006,111.16035000000002,0.0,107.74251405877705,107.74251405877705,107.74251405877705
