,Close,High,Low,Open,time,volume
4079,121.0795,121.136,120.614,120.844,2015-03-08 05:00:00,13246
4080,121.8045,122.028,120.657,121.078,2015-03-09 04:00:00,79417
4081,121.385,122.004,120.852,121.8045,2015-03-10 04:00:00,113745
4082,121.6335,121.671,121.15,121.3825,2015-03-11 04:00:00,104991
4083,121.472,121.644,120.656,121.6325,2015-03-12 04:00:00,90225
4084,121.3845,121.574,121.135,121.4735,2015-03-13 04:00:00,63757
4085,121.354,121.465,121.223,121.3845,2015-03-15 04:00:00,16356
4086,121.361,121.522,121.094,121.3525,2015-03-16 04:00:00,62543
4087,121.3445,121.492,121.113,121.359,2015-03-17 04:00:00,60619
4088,120.409,121.41,119.295,121.347,2015-03-18 04:00:00,117864
4089,120.759,121.034,120.374,120.411,2015-03-19 04:00:00,86808
4090,120.0695,121.204,119.9,120.7595,2015-03-20 04:00:00,68385
4091,120.006,120.114,119.818,119.8745,2015-03-22 04:00:00,18234
4092,119.799,120.167,119.578,120.0065,2015-03-23 04:00:00,77957
4093,119.608,119.984,119.222,119.7995,2015-03-24 04:00:00,79403
4094,119.3195,119.758,119.236,119.6065,2015-03-25 04:00:00,69045
4095,119.3025,119.436,118.334,119.319,2015-03-26 04:00:00,87658
4096,119.1265,119.492,118.93,119.3,2015-03-27 04:00:00,62938
4097,119.212,119.334,119.118,119.2325,2015-03-29 04:00:00,10737
4098,120.2675,120.368,119.168,119.2115,2015-03-30 04:00:00,59255
4099,119.571,120.3,119.419,120.2705,2015-03-31 04:00:00,74011
4100,119.653,120.331,119.425,119.5705,2015-04-01 04:00:00,72044
4101,119.675,119.897,119.452,119.6505,2015-04-02 04:00:00,48262
4102,118.992,119.989,118.722,119.6775,2015-04-03 04:00:00,29021
4103,118.977,119.171,118.804,118.9045,2015-04-05 04:00:00,8177
4104,119.662,119.688,118.924,118.9795,2015-04-06 04:00:00,30753
4105,120.0995,120.448,119.5,119.66,2015-04-07 04:00:00,57183
4106,120.3055,120.387,119.643,120.103,2015-04-08 04:00:00,63972
4107,120.545,120.74,119.863,120.307,2015-04-09 04:00:00,57698
4108,120.198,120.61,120.055,120.546,2015-04-10 04:00:00,44668
4109,120.4265,120.426,120.096,120.344,2015-04-12 04:00:00,10222
4110,119.878,120.846,119.7,120.426,2015-04-13 04:00:00,64598
4111,119.717,120.126,119.071,119.8755,2015-04-14 04:00:00,68781
4112,119.1225,119.747,118.792,119.7185,2015-04-15 04:00:00,66074
4113,118.9935,119.47,118.824,119.1255,2015-04-16 04:00:00,65412
4114,118.919,119.266,118.57,118.996,2015-04-17 04:00:00,59272
4115,118.913,119.04,118.763,119.0105,2015-04-19 04:00:00,10405
4116,119.419,119.504,118.53,118.9155,2015-04-20 04:00:00,53864
4117,119.6455,119.834,119.306,119.4185,2015-04-21 04:00:00,60552
4118,119.9125,120.093,119.346,119.648,2015-04-22 04:00:00,61253
4119,119.546,120.091,119.426,119.913,2015-04-23 04:00:00,69691
4120,118.966,119.608,118.826,119.546,2015-04-24 04:00:00,60706
4121,118.947,119.011,118.776,118.8915,2015-04-26 04:00:00,8988
4122,119.0855,119.436,118.906,118.946,2015-04-27 04:00:00,56664
4123,118.871,119.14,118.754,119.087,2015-04-28 04:00:00,59201
4124,118.9435,119.363,118.609,118.8725,2015-04-29 04:00:00,83819
4125,119.688,119.896,118.497,118.943,2015-04-30 04:00:00,84868
4126,120.21,120.289,119.607,119.6895,2015-05-01 04:00:00,35568
4127,120.059,120.252,120.001,120.2305,2015-05-03 04:00:00,5300
4128,120.122,120.273,119.998,120.058,2015-05-04 04:00:00,32518
4129,119.932,120.502,119.726,120.1215,2015-05-05 04:00:00,55795
4130,119.478,119.984,119.207,119.932,2015-05-06 04:00:00,67199
4131,119.9165,119.972,119.056,119.4785,2015-05-07 04:00:00,65819
4132,119.794,120.236,119.594,119.916,2015-05-08 04:00:00,52713
4133,119.8525,119.942,119.654,119.664,2015-05-10 04:00:00,9423
4134,120.1815,120.198,119.818,119.85,2015-05-11 04:00:00,43579
4135,119.925,120.28,119.716,120.1785,2015-05-12 04:00:00,57834
4136,119.144,119.976,119.037,119.9245,2015-05-13 04:00:00,57915
4137,119.3585,119.498,118.89,119.144,2015-05-14 04:00:00,57103
4138,119.348,119.928,119.188,119.359,2015-05-15 04:00:00,49685
4139,119.6385,119.755,119.264,119.3015,2015-05-17 04:00:00,8249
4140,119.943,120.04,119.534,119.641,2015-05-18 04:00:00,46527
4141,120.867,120.978,119.83,119.942,2015-05-19 04:00:00,65041
4142,121.1825,121.48,120.734,120.8675,2015-05-20 04:00:00,71595
4143,120.806,121.259,120.765,121.1835,2015-05-21 04:00:00,66496
4144,121.5345,121.572,120.64,120.8035,2015-05-22 04:00:00,48111
4145,121.65,121.779,121.484,121.4835,2015-05-24 04:00:00,8151
4146,121.7725,121.802,121.448,121.6495,2015-05-25 04:00:00,24668
4147,123.072,123.324,121.739,121.772,2015-05-26 04:00:00,90831
4148,124.1155,124.3,122.777,123.071,2015-05-27 04:00:00,93321
4149,123.7325,124.463,123.593,124.117,2015-05-28 04:00:00,89170
4150,124.146,124.184,123.668,123.7295,2015-05-29 04:00:00,61949
4151,124.1115,124.346,124.074,124.0865,2015-05-31 04:00:00,11854
4152,124.7425,125.056,123.852,124.1105,2015-06-01 04:00:00,76768
4153,124.026,124.828,123.75,124.74,2015-06-02 04:00:00,95282
4154,124.4385,124.682,123.791,124.0255,2015-06-03 04:00:00,75396
